index,char,width
0,!,4
1,"""",7
2,',3
3,(,6
4,),6
5,*,11
6,+,11
7,-,9
8,.,3
9,/,10
10,0,11
11,1,6
12,2,10
13,3,10
14,4,11
15,5,10
16,6,10
17,7,10
18,8,10
19,9,11
20,:,3
21,;,3
22,=,10
23,?,9
24,A,13
25,B,11
26,C,10
27,D,11
28,E,10
29,F,9
30,G,10
31,H,11
32,I,4
33,J,8
34,K,11
35,L,10
36,M,16
37,N,11
38,O,11
39,P,11
40,Q,12
41,R,11
42,S,11
43,T,11
44,U,11
45,V,12
46,W,18
47,X,12
48,Y,12
49,Z,10
50,[,6
51,],6
52,_,8
53,a,9
54,b,10
55,c,8
56,d,10
57,e,9
58,f,9
59,g,10
60,h,10
61,i,4
62,j,5
63,k,10
64,l,4
65,m,16
66,n,10
67,o,10
68,p,10
69,q,10
70,r,7
71,s,9
72,t,9
73,u,10
74,v,11
75,w,16
76,x,10
77,y,10
78,z,9